session_id,session_date,city,station_id,operator,charger_type,energy_kwh,duration_min,revenue
1,2024-01-01,Bengaluru,BLR-01,VoltNow,Standard,18.71,65.6,224.52
2,2024-01-01,Bengaluru,BLR-01,VoltNow,Fast,13.65,27.2,300.3
3,2024-01-01,Bengaluru,BLR-01,ChargeGrid,Fast,20.5,106.9,451.0
4,2024-01-01,Bengaluru,BLR-01,VoltNow,Fast,17.4,48.8,382.8
5,2024-01-01,Bengaluru,BLR-01,VoltNow,Standard,12.19,113.0,146.28
6,2024-01-01,Bengaluru,BLR-01,VoltNow,Fast,27.77,115.0,610.94
7,2024-01-01,Bengaluru,BLR-01,ChargeGrid,Fast,21.91,113.8,482.02
8,2024-01-01,Bengaluru,BLR-02,VoltNow,Fast,16.37,66.8,360.14
9,2024-01-01,Bengaluru,BLR-02,ChargeGrid,Fast,20.23,115.1,445.06
10,2024-01-01,Bengaluru,BLR-02,ChargeGrid,Fast,14.02,96.9,308.44
11,2024-01-01,Bengaluru,BLR-02,VoltNow,Fast,22.61,28.4,497.42
12,2024-01-01,Bengaluru,BLR-02,VoltNow,Fast,15.0,57.0,330.0
13,2024-01-01,Bengaluru,BLR-02,ChargeGrid,Fast,26.86,118.6,590.92
14,2024-01-01,Bengaluru,BLR-03,ChargeGrid,Fast,27.49,70.4,604.78
15,2024-01-01,Bengaluru,BLR-03,VoltNow,Standard,25.05,61.5,300.6
16,2024-01-01,Bengaluru,BLR-03,VoltNow,Fast,8.68,98.2,190.96
17,2024-01-01,Bengaluru,BLR-03,ChargeGrid,Standard,27.36,88.3,328.32
18,2024-01-01,Delhi,DEL-01,ChargeGrid,Fast,23.19,106.9,510.18
19,2024-01-01,Delhi,DEL-01,VoltNow,Fast,18.99,67.2,417.78
20,2024-01-01,Delhi,DEL-01,VoltNow,Standard,9.8,24.0,117.6
21,2024-01-01,Delhi,DEL-01,VoltNow,Fast,29.17,33.7,641.74
22,2024-01-01,Delhi,DEL-01,VoltNow,Fast,15.41,98.6,339.02
23,2024-01-01,Delhi,DEL-01,ChargeGrid,Standard,13.48,97.5,161.76
24,2024-01-01,Delhi,DEL-02,ChargeGrid,Fast,9.19,97.8,202.18
25,2024-01-01,Delhi,DEL-02,ChargeGrid,Standard,25.57,46.8,306.84
26,2024-01-01,Delhi,DEL-02,ChargeGrid,Fast,16.81,47.7,369.82
27,2024-01-01,Delhi,DEL-02,VoltNow,Fast,29.11,104.2,640.42
28,2024-01-01,Delhi,DEL-02,VoltNow,Standard,24.58,55.7,294.96
29,2024-01-01,Delhi,DEL-02,VoltNow,Standard,18.4,93.8,220.8
30,2024-01-01,Delhi,DEL-02,ChargeGrid,Fast,27.98,20.7,615.56
31,2024-01-01,Delhi,DEL-02,VoltNow,Fast,19.43,41.3,427.46
32,2024-01-01,Delhi,DEL-02,ChargeGrid,Standard,17.71,114.2,212.52
33,2024-01-01,Mumbai,MUM-01,VoltNow,Standard,22.84,33.2,274.08
34,2024-01-01,Mumbai,MUM-01,VoltNow,Fast,22.67,21.9,498.74
35,2024-01-01,Mumbai,MUM-01,VoltNow,Standard,20.15,73.3,241.8
36,2024-01-01,Mumbai,MUM-01,VoltNow,Standard,34.28,46.3,411.36
37,2024-01-01,Mumbai,MUM-01,VoltNow,Fast,34.55,39.8,760.1
38,2024-01-01,Mumbai,MUM-01,ChargeGrid,Fast,26.86,78.5,590.92
39,2024-01-01,Mumbai,MUM-02,ChargeGrid,Standard,29.43,54.3,353.16
40,2024-01-01,Mumbai,MUM-02,ChargeGrid,Standard,19.42,100.8,233.04
41,2024-01-01,Mumbai,MUM-02,VoltNow,Fast,6.24,106.3,137.28
42,2024-01-01,Mumbai,MUM-02,ChargeGrid,Standard,34.98,72.5,419.76
43,2024-01-01,Mumbai,MUM-02,VoltNow,Standard,18.38,41.5,220.56
44,2024-01-01,Mumbai,MUM-03,ChargeGrid,Fast,33.28,117.6,732.16
45,2024-01-01,Mumbai,MUM-03,VoltNow,Fast,8.08,112.7,177.76
46,2024-01-01,Mumbai,MUM-03,ChargeGrid,Fast,28.37,55.1,624.14
47,2024-01-01,Hyderabad,HYD-01,ChargeGrid,Standard,6.69,59.9,80.28
48,2024-01-01,Hyderabad,HYD-01,VoltNow,Fast,19.06,23.0,419.32
49,2024-01-01,Hyderabad,HYD-01,ChargeGrid,Standard,8.07,38.3,96.84
50,2024-01-01,Hyderabad,HYD-01,ChargeGrid,Standard,21.28,73.5,255.36
51,2024-01-01,Hyderabad,HYD-01,ChargeGrid,Fast,27.38,77.3,602.36
52,2024-01-01,Hyderabad,HYD-02,ChargeGrid,Fast,16.97,117.8,373.34
53,2024-01-01,Hyderabad,HYD-02,ChargeGrid,Fast,19.8,56.9,435.6
54,2024-01-01,Hyderabad,HYD-02,ChargeGrid,Fast,19.08,114.1,419.76
55,2024-01-01,Hyderabad,HYD-02,VoltNow,Standard,7.5,85.0,90.0
56,2024-01-01,Hyderabad,HYD-02,VoltNow,Fast,27.81,71.2,611.82
57,2024-01-01,Hyderabad,HYD-02,ChargeGrid,Fast,6.18,48.8,135.96
58,2024-01-01,Hyderabad,HYD-02,VoltNow,Standard,26.65,20.4,319.8
59,2024-01-02,Bengaluru,BLR-01,VoltNow,Standard,33.71,46.3,404.52
60,2024-01-02,Bengaluru,BLR-01,ChargeGrid,Standard,10.3,101.9,123.6
61,2024-01-02,Bengaluru,BLR-01,VoltNow,Standard,28.07,101.0,336.84
62,2024-01-02,Bengaluru,BLR-02,ChargeGrid,Fast,23.29,65.0,512.38
63,2024-01-02,Bengaluru,BLR-02,VoltNow,Fast,25.19,30.5,554.18
64,2024-01-02,Bengaluru,BLR-02,VoltNow,Standard,29.69,87.6,356.28
65,2024-01-02,Bengaluru,BLR-03,ChargeGrid,Standard,10.22,50.4,122.64
66,2024-01-02,Bengaluru,BLR-03,VoltNow,Fast,15.14,82.9,333.08
67,2024-01-02,Bengaluru,BLR-03,VoltNow,Fast,30.56,88.0,672.32
68,2024-01-02,Bengaluru,BLR-03,ChargeGrid,Fast,8.69,84.6,191.18
69,2024-01-02,Bengaluru,BLR-03,VoltNow,Fast,27.87,40.4,613.14
70,2024-01-02,Bengaluru,BLR-03,VoltNow,Fast,21.87,75.7,481.14
71,2024-01-02,Bengaluru,BLR-03,ChargeGrid,Fast,7.02,78.6,154.44
72,2024-01-02,Bengaluru,BLR-03,ChargeGrid,Fast,24.21,53.7,532.62
73,2024-01-02,Bengaluru,BLR-03,VoltNow,Standard,9.36,57.8,112.32
74,2024-01-02,Delhi,DEL-01,VoltNow,Fast,16.48,76.3,362.56
75,2024-01-02,Delhi,DEL-01,ChargeGrid,Standard,26.06,52.9,312.72
76,2024-01-02,Delhi,DEL-01,ChargeGrid,Fast,13.11,83.3,288.42
77,2024-01-02,Delhi,DEL-01,ChargeGrid,Standard,23.38,110.0,280.56
78,2024-01-02,Delhi,DEL-01,VoltNow,Fast,28.56,61.4,628.32
79,2024-01-02,Delhi,DEL-01,ChargeGrid,Standard,14.54,113.1,174.48
80,2024-01-02,Delhi,DEL-01,ChargeGrid,Fast,27.21,108.2,598.62
81,2024-01-02,Delhi,DEL-01,ChargeGrid,Fast,14.01,36.1,308.22
82,2024-01-02,Delhi,DEL-02,VoltNow,Standard,11.71,29.1,140.52
83,2024-01-02,Delhi,DEL-02,VoltNow,Fast,9.44,59.1,207.68
84,2024-01-02,Delhi,DEL-02,ChargeGrid,Standard,12.85,20.6,154.2
85,2024-01-02,Delhi,DEL-02,ChargeGrid,Standard,7.39,105.3,88.68
86,2024-01-02,Delhi,DEL-02,VoltNow,Standard,34.13,80.9,409.56
87,2024-01-02,Delhi,DEL-02,VoltNow,Fast,30.2,30.9,664.4
88,2024-01-02,Delhi,DEL-02,ChargeGrid,Standard,31.84,49.9,382.08
89,2024-01-02,Delhi,DEL-02,ChargeGrid,Fast,20.65,36.9,454.3
90,2024-01-02,Mumbai,MUM-01,VoltNow,Standard,16.85,59.8,202.2
91,2024-01-02,Mumbai,MUM-01,VoltNow,Standard,18.24,41.2,218.88
92,2024-01-02,Mumbai,MUM-01,VoltNow,Standard,15.17,84.5,182.04
93,2024-01-02,Mumbai,MUM-02,ChargeGrid,Fast,29.0,61.9,638.0
94,2024-01-02,Mumbai,MUM-02,VoltNow,Fast,24.75,36.6,544.5
95,2024-01-02,Mumbai,MUM-02,VoltNow,Fast,33.63,24.1,739.86
96,2024-01-02,Mumbai,MUM-02,ChargeGrid,Standard,25.43,103.9,305.16
97,2024-01-02,Mumbai,MUM-02,ChargeGrid,Standard,10.51,107.3,126.12
98,2024-01-02,Mumbai,MUM-03,ChargeGrid,Standard,6.82,49.5,81.84
99,2024-01-02,Mumbai,MUM-03,ChargeGrid,Standard,18.81,103.3,225.72
100,2024-01-02,Mumbai,MUM-03,ChargeGrid,Fast,29.43,53.6,647.46
101,2024-01-02,Mumbai,MUM-03,VoltNow,Standard,6.08,89.9,72.96
102,2024-01-02,Hyderabad,HYD-01,ChargeGrid,Fast,14.14,34.7,311.08
103,2024-01-02,Hyderabad,HYD-01,VoltNow,Fast,17.58,104.2,386.76
104,2024-01-02,Hyderabad,HYD-01,ChargeGrid,Standard,8.11,67.2,97.32
105,2024-01-02,Hyderabad,HYD-01,ChargeGrid,Fast,19.04,59.8,418.88
106,2024-01-02,Hyderabad,HYD-01,ChargeGrid,Fast,19.84,48.1,436.48
107,2024-01-02,Hyderabad,HYD-01,ChargeGrid,Fast,34.12,116.2,750.64
108,2024-01-02,Hyderabad,HYD-02,ChargeGrid,Standard,16.46,118.8,197.52
109,2024-01-02,Hyderabad,HYD-02,ChargeGrid,Fast,28.64,62.4,630.08
110,2024-01-02,Hyderabad,HYD-02,ChargeGrid,Standard,13.97,53.4,167.64
111,2024-01-02,Hyderabad,HYD-02,ChargeGrid,Standard,6.05,109.5,72.6
112,2024-01-02,Hyderabad,HYD-02,VoltNow,Standard,20.05,118.6,240.6
113,2024-01-02,Hyderabad,HYD-02,ChargeGrid,Fast,24.0,108.9,528.0
114,2024-01-03,Bengaluru,BLR-01,ChargeGrid,Fast,7.0,77.0,154.0
115,2024-01-03,Bengaluru,BLR-01,VoltNow,Standard,33.56,100.6,402.72
116,2024-01-03,Bengaluru,BLR-01,ChargeGrid,Standard,32.04,75.8,384.48
117,2024-01-03,Bengaluru,BLR-01,VoltNow,Standard,9.12,59.7,109.44
118,2024-01-03,Bengaluru,BLR-01,ChargeGrid,Standard,34.63,112.2,415.56
119,2024-01-03,Bengaluru,BLR-01,VoltNow,Standard,7.41,56.3,88.92
120,2024-01-03,Bengaluru,BLR-02,ChargeGrid,Fast,19.3,42.1,424.6
121,2024-01-03,Bengaluru,BLR-02,ChargeGrid,Standard,12.38,110.5,148.56
122,2024-01-03,Bengaluru,BLR-02,ChargeGrid,Standard,9.99,27.0,119.88
123,2024-01-03,Bengaluru,BLR-02,VoltNow,Standard,20.47,42.4,245.64
124,2024-01-03,Bengaluru,BLR-02,ChargeGrid,Fast,33.14,44.4,729.08
125,2024-01-03,Bengaluru,BLR-02,VoltNow,Fast,33.54,84.6,737.88
126,2024-01-03,Bengaluru,BLR-02,VoltNow,Fast,13.3,109.8,292.6
127,2024-01-03,Bengaluru,BLR-02,ChargeGrid,Fast,33.06,61.1,727.32
128,2024-01-03,Bengaluru,BLR-02,VoltNow,Standard,21.07,51.4,252.84
129,2024-01-03,Bengaluru,BLR-03,ChargeGrid,Standard,31.16,102.8,373.92
130,2024-01-03,Bengaluru,BLR-03,VoltNow,Fast,20.62,82.2,453.64
131,2024-01-03,Bengaluru,BLR-03,VoltNow,Standard,17.37,43.4,208.44
132,2024-01-03,Bengaluru,BLR-03,ChargeGrid,Standard,25.9,90.1,310.8
133,2024-01-03,Bengaluru,BLR-03,VoltNow,Standard,27.17,29.8,326.04
134,2024-01-03,Delhi,DEL-01,ChargeGrid,Standard,7.76,40.4,93.12
135,2024-01-03,Delhi,DEL-01,ChargeGrid,Fast,33.87,36.3,745.14
